title,artist,link
Portrait of a Seated Woman (1958),Peter Standen,https://collections.ed.ac.uk/art/record/20865?highlight=*:*
Racing Circuit (1987-1988),Jane V Hyslop,https://collections.ed.ac.uk/art/record/21456?highlight=*:*
Standing Male Nude (1958),Andrew P. W. Conkie,https://collections.ed.ac.uk/art/record/22716?highlight=*:*
etc (2006),Catherine Robbie,https://collections.ed.ac.uk/art/record/99865?highlight=*:*
"Still Life with Jug of Flowers, Goblet and Fruit",Sir William George Gillies,https://collections.ed.ac.uk/art/record/20753?highlight=*:*
Male Nude Leaning on a Table (verso),Unknown,https://collections.ed.ac.uk/art/record/22650?highlight=*:*
Portrait of a Young Woman (1965),Irene Scott,https://collections.ed.ac.uk/art/record/21292?highlight=*:*
Bowl,Emma Gillies,https://collections.ed.ac.uk/art/record/122129?highlight=*:*
Drawing of a Man's Head (1955),James Robertson,https://collections.ed.ac.uk/art/record/20804?highlight=*:*
Self Portrait against Window (Circa 1983),Gwen W. Hardie,https://collections.ed.ac.uk/art/record/22593?highlight=*:*
Seated Female Nude (Circa 1968),Alan T. Johnston,https://collections.ed.ac.uk/art/record/20748?highlight=*:*
Untitled - Figured Drawing of Nude Woman on a Couch (1963),Gordon Bryce,https://collections.ed.ac.uk/art/record/99329?highlight=*:*
Unknown (1950),Zygmunt Bukowski,https://collections.ed.ac.uk/art/record/53557?highlight=*:*
Portrait of Head of a Woman (1952),Frances Walker,https://collections.ed.ac.uk/art/record/20846?highlight=*:*
Sienna Cathedral (1982),Ann Oram,https://collections.ed.ac.uk/art/record/102660?highlight=*:*
Virgin and Child,Unknown,https://collections.ed.ac.uk/art/record/20571?highlight=*:*
Woman with Fish on her Head,John Bellany,https://collections.ed.ac.uk/art/record/21530?highlight=*:*
Unknown (1952),Rosemary Bagshaw,https://collections.ed.ac.uk/art/record/53513?highlight=*:*
Seated Nude (1953),Robert L Thompson,https://collections.ed.ac.uk/art/record/21121?highlight=*:*
Portrait of Woman in White Blouse (1962),Elizabeth G. Kellar,https://collections.ed.ac.uk/art/record/22714?highlight=*:*
Untitled (1977),Eve F. Thomson,https://collections.ed.ac.uk/art/record/99826?highlight=*:*
Unknown (1949),Margaret Moodie,https://collections.ed.ac.uk/art/record/50492?highlight=*:*
Art Magazine Ads (1988-1989),Jeff Koons,https://collections.ed.ac.uk/art/record/21365?highlight=*:*
Unknown,Unknown,https://collections.ed.ac.uk/art/record/50397?highlight=*:*
Seated Female Nude (1994-1995),Nicholas Otter,https://collections.ed.ac.uk/art/record/21510?highlight=*:*
Portrait of a Woman (1959),William D. MacKay,https://collections.ed.ac.uk/art/record/22715?highlight=*:*
Untitled (1963),Andrew Raeburn,https://collections.ed.ac.uk/art/record/22018?highlight=*:*
Untitled (2004),Rebecca Firth,https://collections.ed.ac.uk/art/record/21818?highlight=*:*
Untitled (2003),Andrea Bain,https://collections.ed.ac.uk/art/record/99938?highlight=*:*
Untitled - Abstract Figures and Shapes (1965-1966),James B. Thomson,https://collections.ed.ac.uk/art/record/99449?highlight=*:*
